n,Yes,No,609794
12/03/2013,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,,Wells Fargo & Company,OH,45152,,,Web,12/03/2013,Closed with explanation,Yes,Yes,619928
12/03/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,PA,19015,,,Postal mail,12/04/2013,Closed with non-monetary relief,Yes,No,620330
01/07/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,NE,68134,,,Referral,01/09/2014,Closed with explanation,Yes,No,657133
01/07/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,HSBC North America Holdings Inc.,GA,30093,,,Referral,01/08/2014,Closed with explanation,Yes,No,657134
01/07/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Citibank,AZ,85050,,,Referral,01/09/2014,Closed with explanation,Yes,No,657080
01/07/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,MS,39322,,,Referral,01/09/2014,Closed with explanation,Yes,Yes,658594
01/07/2014,Credit card,,Billing disputes,,,,Bank of America,FL,32940,,,Referral,01/08/2014,Closed with monetary relief,Yes,No,657135
12/10/2013,Credit card,,Customer service / Customer relations,,,,Citibank,MA,01803,,,Web,12/17/2013,Closed with non-monetary relief,Yes,No,627986
12/10/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,PA,19422,,,Web,12/17/2013,Closed with explanation,Yes,No,627987
12/10/2013,Debt collection,Federal student loan,Taking/threatening an illegal action,Attempted to/Collected exempt funds,,,"Navient Solutions, Inc.",NY,14301,,,Web,12/10/2013,Closed with explanation,Yes,No,627989
12/10/2013,Debt collection,Federal student loan,Taking/threatening an illegal action,Attempted to/Collected exempt funds,,,"ECMC Group, Inc.",NY,14301,,,Web,12/10/2013,Closed with explanation,Yes,No,627990
12/26/2013,Credit card,,Credit determination,,,,Synchrony Financial,NC,28712,,,Postal mail,01/02/2014,Closed with explanation,Yes,No,646145
01/14/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,FL,32244,,,Referral,01/17/2014,Closed with non-monetary relief,Yes,No,668183
01/14/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,CA,94134,,,Referral,01/17/2014,Closed with non-monetary relief,Yes,No,668083
01/14/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"Seterus, Inc.",CA,95765,,,Fax,01/17/2014,Closed with explanation,Yes,No,667981
12/03/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,Wells Fargo & Company,IA,50266,,,Web,12/09/2013,Closed with explanation,Yes,No,619332
11/22/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"Expert Global Solutions, Inc.",PA,15201,,,Web,11/22/2013,Closed with explanation,Yes,Yes,608987
01/07/2014,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,Ocwen,PA,18840,,,Referral,01/08/2014,Closed with explanation,Yes,No,657136
01/07/2014,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,"Expert Global Solutions, Inc.",NY,12304,,,Web,01/06/2014,Closed with explanation,Yes,No,657138
